ID,REC_1,REC_2,REC_3,REC_4,REC_5
500000002152261401,5999,5451,5441,5813,5541
500000000049437592,5451,5533,5814,7230,5399
500000000000612377,5451,5641,4900,5441,5462
500000000000452345,5732,5812,4111,5451,5941
500000001427141645,5533,5641,5814,5451,4812
500000000006325083,5499,4812,5533,5691,5812
500000000489213286,5451,5533,5813,5311,5912
500000000121986165,5661,5499,5462,5441,5945
500000000051734157,5451,5200,5691,5441,5462
500000000003344659,5451,5993,4812,5732,5462
500000000049824091,5533,5200,5813,5451,5912
500000000320642717,5451,5441,5993,4112,5541
500000003304101215,5732,5451,4812,5661,5813
500000000118634829,5499,5661,5641,5993,5441
500000000049689560,5451,5661,5722,4111,5311
500000002973561494,5651,5499,5441,5462,4112
500000000375873150,5533,5499,5818,5661,5441
500000000003691627,5499,5993,5533,7230,5691
500000000124175089,5451,5813,5533,5311,5462
500000000319006469,5451,5691,4812,4111,5992
500000000123464710,5499,5812,5661,5813,5541
500000002717798794,5651,5945,5451,5815,5462
500000000004275277,5451,5691,5813,5499,5441
500000001482750706,5451,5661,5462,5311,5331
500000001081519588,5441,5499,5661,5921,5462
500000000118893274,4131,5441,5462,5451,5331
500000000373609703,5499,5641,5331,4112,5732
500000000051684674,5499,4131,5441,4112,5812
500000001290007493,5722,5451,5462,5211,5943
500000000149686163,5451,5533,5993,5399,5813
500000002698439207,5813,4111,4112,5451,5942
500000002887964948,5451,5462,5813,5691,4111
500000002320012327,7311,5411,4812,5533,5399
500000000319600533,5451,5661,5993,5533,5722
500000002028193967,5451,5533,5815,5812,5993
500000000298517901,5499,5993,5533,5661,5462
500000002988990476,5451,5812,5993,4111,7230
500000000001439993,5451,5533,5993,7230,4900
500000002375941833,5441,5499,5661,5941,5921
500000000053941255,5993,5451,5691,5641,5661
500000000145176375,5499,4121,5812,5651,5921
500000002216763565,5451,5722,5399,4900,5912
500000000372465906,5451,5441,5964,5533,5912
500000000003817400,5499,5462,5399,5993,4112
500000000397900199,5451,4816,5812,7994,5993
500000000049803213,5451,5533,5200,5661,5912
500000000145477779,5813,5661,5499,5999,5462
500000000053245291,5451,5661,5812,5499,5977
500000000050420474,5641,5451,5691,5813,5462
500000003002526370,5411,5813,5651,5661,5462
500000000144193696,5641,5462,5691,5451,5311
500000002384267604,5451,5462,5533,4111,4131
500000000367000684,5451,5661,5814,4131,5200
500000000050300523,5533,5451,5999,5732,5912
500000000054130536,4131,5451,5441,5331,5813
500000000050013893,5451,5722,5533,5441,4900
500000000053906502,5732,5661,5451,4812,5441
500000002021902551,5451,5462,5533,5399,5813
500000003958652834,5451,5641,5311,5661,5499
500000003744985203,5200,5993,5451,9402,5722
500000003785328883,5533,5499,5441,4816,5814
500000000003067065,5499,5945,5812,5999,5399
500000001150780153,5451,5945,5691,5311,5943
500000001014121983,5451,5661,5200,5462,5641
500000000006119078,5451,5311,5691,5812,5499
500000000150131123,7311,5499,5200,5661,5722
500000002255652632,5499,5999,5691,5813,5451
500000000053632716,5732,4111,5462,7311,5812
500000000781944131,5499,5533,5641,5993,5812
500000000052850685,5451,5651,5812,5533,4121
500000000389135910,5451,5661,5945,5912,5995
500000001736692450,5813,5441,5499,5399,4131
500000001062998323,5813,5331,5451,5311,5912
500000000003817649,5451,5661,5818,5441,9402
500000000002033777,5499,5651,5641,5451,5722
500000000005667154,5533,5499,5691,5451,5993
500000000049733025,5451,5399,5722,5992,9402
500000001290014692,5451,5812,5999,4131,5651
500000000155259673,5451,5441,5732,5813,5812
500000000006023931,4812,5451,5533,5814,5999
500000000000406090,5451,5999,5533,5993,5651
500000002113426849,7994,5451,5533,4812,5499
500000000054251306,5499,5462,5451,5977,5441
500000000128077714,5499,5722,5533,4812,7311
500000000048784098,5441,4112,5451,5977,5912
500000000052623659,5451,5661,5462,7230,5691
500000002146161866,5451,5661,5942,5399,4131
500000000051867318,5462,5813,5451,5441,5399
500000003958570452,5499,5722,4112,4121,5812
500000003016026095,5451,5691,5732,5921,5311
500000000135318501,5451,5533,5812,5732,5993
500000000007480538,5451,5541,5999,5912,5200
500000003900937423,5451,5651,5993,5999,5945
500000003999093548,5732,5691,5499,5814,5211
500000000007161269,5451,4812,5441,5945,5722
500000000053687023,5451,4131,5993,5499,5995
500000002461666895,5441,5499,5462,4131,5993
500000000049970041,5499,5818,5311,5993,7311
500000002080721025,5812,5499,5661,5641,5200
500000000050748536,5732,5451,5661,5641,5999
500000002209621693,5451,4812,5533,5812,5651
500000003201711641,5462,4112,5499,5921,5813
500000000002217064,5451,5999,5722,4111,5462
500000000627105624,5499,4131,5462,5815,5533
500000002843617527,5451,5993,5399,5331,5732
500000000147779363,5499,5533,5993,5812,5451
500000001769251180,5533,5499,5462,5921,5813
500000001509808181,5999,7230,5499,5912,5451
500000000525537822,5533,5451,5462,5813,7311
500000000135075642,5812,5661,5411,5451,5941
500000001452319711,5651,5451,5641,5812,4111
500000000007385196,5451,5993,5462,4112,5812
500000000004293154,5451,5993,5541,5651,5813
500000000001302587,5499,5200,5533,4816,5813
500000000156164189,5813,5451,5462,4111,4131
500000000319302481,5451,5331,5441,5499,5462
500000000050280155,5691,5200,5499,5818,5732
500000002198997603,5451,5691,5993,5533,5441
500000002118380960,5441,5451,5993,5462,5813
500000000585299816,5451,4131,5462,5441,5921
500000002870098045,5499,5533,5993,5441,5912
500000000050617014,5441,5499,5462,4111,4121
500000000050692564,5451,5311,5691,5441,5541
500000000121550804,5451,5533,5399,7994,4111
500000000467347372,5462,5451,5813,4112,5200
500000002756682217,5451,5462,5441,5813,5992
500000003261369058,5451,5993,5732,5441,5941
500000000004462305,5451,5993,7230,4121,5211
500000003185950716,5462,5499,5813,4812,5691
500000000375388731,4111,4816,5499,4112,5815
500000000129412473,5451,5814,5732,5211,4121
500000000376365110,5499,5661,5311,5813,5451
500000000052824624,5451,5441,5462,5661,5499
500000000130602738,5451,5812,5813,4112,7994
500000000007048031,5451,5993,5651,5912,5200
500000001010950550,5451,5200,5533,5722,5651
500000003561904265,5451,5651,5732,5815,5533
500000000004110511,5451,5993,5331,5441,4812
500000000379270991,5451,7311,5462,5651,5813
500000000006503647,5499,5691,5812,5732,4900
500000000050245424,5451,4112,5942,5441,5999
500000000001366224,5499,7230,4812,5441,5311
500000001773921697,5451,5441,5993,5722,5462
500000000004753568,5451,5993,5311,7230,5399
500000000048636929,5451,5541,5814,5812,5941
500000000051960491,5451,5722,5999,5641,5812
500000000052791876,5200,5533,5462,5499,5964
500000000152135068,4812,5499,5661,7230,5200
500000000051910279,5942,5722,5441,5411,5691
500000003684219179,4111,5441,5499,5462,7230
500000000054051853,4131,5462,5451,5441,5999
500000000050386193,5451,7994,5993,5462,5641
500000000004883059,5451,5533,5812,5722,5912
500000003485234819,5451,5812,5691,7230,5722
500000000053768872,5451,5462,5651,4112,5921
500000000052018371,5499,5661,7230,5921,5541
500000001346173764,5451,5462,4111,5999,5641
500000003287336870,5441,5499,5651,5641,5722
500000001819231360,5451,5812,4816,5399,5921
500000000007459425,5499,4131,5651,5813,5999
500000000156772014,5451,5812,4112,5533,5992
500000000298943841,5451,5813,5691,5441,5912
500000000053653107,5499,5441,5691,5451,5999
500000000005332459,5451,5462,5732,5912,5641
500000000003785020,5451,5813,5311,5211,7230
500000000152609477,5451,5311,5661,5813,4111
500000003232098055,5451,5441,5533,5993,5641
500000000000478069,7311,5451,5722,5813,5211
500000002279251124,5451,5993,5541,5651,5813
500000002321457475,5499,5732,5691,5661,4111
500000000134884414,5451,7230,5993,5441,5311
500000000053468749,5451,7311,5732,5533,4900
500000000003382723,5813,5331,5451,5541,5441
500000000900454927,5451,5661,5533,5814,5992
500000000132646868,5451,5812,5399,5993,5651
500000000052652605,5311,5451,5691,5441,5722
500000000054031735,5451,5661,5722,5331,5814
500000003311151083,5451,5691,7230,5993,5964
500000000001467721,5661,5451,5993,5441,5912
500000000050965818,5499,5732,5999,5533,5441
500000000503439550,5451,5462,4812,4131,5651
500000000464649528,5451,4121,5641,5311,5995
500000000127687027,5451,4812,4900,5999,5211
500000000006750795,5451,5661,5993,5999,5533
500000002737016234,5499,5813,4111,5812,5993
500000002204694642,5499,5813,5441,5691,4121
500000000137841830,5451,5311,5942,5812,5814
500000000162904606,5722,5451,4121,5813,5311
500000003724371199,5451,5399,7230,5541,5993
500000000120519739,5451,5661,5462,5441,4121
500000000003981684,5451,5533,5399,5462,5661
500000002415231734,5451,5533,5462,5813,5921
500000000053776807,5451,5311,5813,5993,5814
500000000048684802,5499,5661,5993,5200,4812
500000000474102489,4812,5499,7994,5993,5441
500000000886085350,5451,5331,5691,5999,5441
500000002051955710,5451,5399,5661,5311,5912
500000000003219196,5451,5722,7230,5993,5651
500000000376346124,5451,5441,5462,5661,5993
500000002736945130,5818,5451,5661,5651,5732
500000000052929032,5451,5661,5441,5977,5732
500000000139752613,5533,5812,4131,4812,5451
500000001443169294,5451,5813,5812,5995,5999
500000000049540269,5451,5812,5722,5993,4121
500000002863316446,5499,4112,5399,5722,5441
500000002204691825,5533,5451,5813,5812,5943
500000000469692538,5451,5812,4900,5995,5722
500000000052731621,5499,5441,5912,4111,5691
500000000001083241,5451,4812,5533,5995,5921
500000000000451851,5451,5331,5441,5661,5311
500000000002474290,5499,5813,7230,5462,5399
500000001022991261,5451,5813,5462,5441,5331
500000000054341887,5732,5691,7230,5451,5722
500000000121427820,5451,5813,5399,4112,4121
500000000001450721,5541,5499,5462,5945,4812
500000001459922535,5499,5691,5441,5462,5722
500000000621311472,5451,4812,5399,4121,5441
500000000007537713,5499,5812,5399,5641,5912
500000000048679017,5451,5641,5533,5993,5311
500000000000210627,5451,5462,5441,5813,5399
500000002717716210,5812,4812,5451,4131,4816
500000000049981909,5499,5533,5993,5462,5200
500000000298275953,5451,5533,5441,5462,4131
500000000049657047,5499,5722,5812,5651,7230
500000000053508784,5451,5462,5533,5722,5499
500000000007478568,5541,5441,5451,5993,5977
500000000001947313,5661,5451,5441,5200,5999
500000000004856735,5200,5451,5941,5651,5814
500000000608256302,5732,5451,4112,7311,5211
500000002876192222,5451,5722,4131,5912,5921
500000000003094389,5533,5499,5993,5641,5912
500000000297578445,5451,5533,5732,5812,5661
500000002183037382,5533,5451,5331,4900,5992
500000000051187791,5451,7230,5311,5942,5533
500000000054089187,5451,4111,5441,4112,5462
500000000423380927,5651,5451,7230,5441,5912
500000000050076290,5451,5311,5411,5912,5211
500000001798553929,5462,5533,5451,4812,4900
500000000050218896,5499,5812,4111,5451,5462
500000000003995872,5451,5441,5661,5462,5499
500000000051093301,5451,5813,5661,5541,4812
500000000050884014,5732,5813,5499,5533,5999
500000000050236763,5451,5732,5722,5812,4131
500000002717769316,5451,5533,5462,5691,5812
500000000004901438,5451,5921,5999,5331,5732
500000000005507788,5499,5813,5399,5533,5912
500000000143572612,5732,5499,5200,5661,4131
500000000002729162,5451,5399,5661,5211,5331
500000004361271294,5818,5451,5814,5912,5462
500000001773998450,5499,5200,5661,5533,5451
500000000377456452,5451,5691,5993,5812,4111
500000003472805937,5499,5533,5691,5399,5813
500000000054029825,5451,5732,5331,5691,5399
500000000001663415,5651,5451,5533,5993,5814
500000000052972541,5451,5462,4812,5541,5441
500000000159572277,5451,7230,5722,5661,5462
500000001971728520,5451,5993,5462,5661,5941
500000003061001904,5451,5441,4131,5732,4112
500000000122607325,5451,5641,5533,5441,5921
500000003792903428,5451,5533,5311,5812,5813
500000000122282791,5451,5813,5441,5399,5945
500000002108673645,5499,5651,5812,5200,4812
500000000052741491,7230,5441,5499,5691,5661
500000000160154520,5451,5813,5441,4111,5331
500000000053442934,5732,5451,4812,5691,5814
500000000006767075,5451,5813,5651,5533,7994
500000000053657702,5533,5451,5814,5722,7311
500000000127011147,5533,5462,5499,5651,5399
500000000130850880,4812,5533,5462,5451,5499
500000000005659446,5533,5451,5200,5462,5813
500000000001015143,5451,5722,5816,5999,5499
500000000001717421,5661,5451,5441,5399,5942
500000000481957743,5451,5462,5641,5691,4131
500000000049628054,5411,5993,5399,5912,5311
500000001678418725,5441,5451,5722,5462,5921
500000003573404207,5451,5977,5812,4121,5942
500000000582440868,5451,5651,5921,5641,5533
500000000053420652,5964,5818,5462,5451,5399
500000002081619847,5441,5499,5691,5813,4131
500000003531633722,5451,5812,4111,5722,5661
500000000119043188,5499,5722,5812,5691,5462
500000000004009406,5399,5451,5661,5533,5814
500000000054783278,5451,5661,5533,5921,5813
500000000003922093,5451,5661,5211,5812,5499
500000000052312080,7230,5451,5399,5945,5814
500000002635275634,5451,4111,4131,5813,5331
500000000000843764,5451,5732,5533,4812,5912
500000000007210355,5499,7230,5816,7311,5818
500000000128521914,5499,5462,5993,7230,5441
500000002262521853,5331,5732,5499,5462,5921
500000002953543012,5451,5533,4112,5912,5211
500000000055037156,5462,5441,5815,5411,5641
500000000000952562,5499,5722,5993,5661,5533
500000000051523431,5451,5722,5651,5942,5999
500000000053862627,4812,5451,5533,5211,5912
500000000160652228,5451,5533,7230,5993,5912
500000000594836536,4121,5921,4112,5977,5995
500000002723825456,5451,5691,5993,4111,5812
500000000412413993,5499,5651,7230,5813,5999
500000001613906009,5451,5661,5533,7311,5814
500000000507010698,5451,5441,5661,5995,5462
500000001127155493,5441,5462,5451,5399,5964
500000000399105500,5641,5451,5399,5661,7230
500000002384227200,5451,5814,5533,5331,5311
500000000320421874,5462,5451,4112,5399,5499
500000000000455110,5451,4131,5462,5993,5813
500000001946561993,5499,5533,5941,5921,5451
500000000889225571,5451,5999,5533,5691,5211
500000000120267560,5661,5451,5912,5977,5812
500000002522141719,5499,5533,5813,4812,5462
500000000050246655,4812,5451,5533,5441,5499
500000000049432223,5451,5993,5812,5813,5211
500000000055252692,5451,5993,7230,5651,5912
500000000002758096,5451,5691,5399,5311,4812
500000000566826873,5499,5722,5661,5441,5641
500000000049791504,5451,5533,5441,5641,7230
500000000159331888,5451,5541,5441,5651,5992
500000000588033568,5451,5691,5533,5814,5462
500000002321210084,5451,4812,5813,5441,5815
500000000116845908,5441,5451,5661,4131,5691
500000000053288809,5661,5441,5451,4131,5912
500000000003920048,5451,5399,7230,5722,5661
500000000594826479,5451,5641,5661,5993,5732
500000002590676861,5451,5533,5993,5311,5999
500000000053699269,5451,5441,5462,5813,5941
500000002135484194,4112,5499,4121,5441,4900
500000000131701262,5451,5812,5732,5993,5541
500000000054671254,5451,5812,5691,5977,5331
500000000007331728,5499,4812,5661,7230,5399
500000001710235647,5441,5816,5462,5451,5813
500000002319150897,5451,5533,5462,5993,5331
500000000297186404,5451,5462,4111,4812,5813
500000000432170078,5499,5732,5533,5812,5999
500000000049556127,5533,5451,5813,5722,5732
500000000051519472,5661,7230,5816,5722,5999
500000000007646988,5441,5813,5499,5462,5533
500000001980586688,5451,5441,5533,7311,5661
500000003020757336,5499,4816,5399,5815,5943
500000003485247077,5451,5813,5661,5722,5541
500000000054696230,5451,5441,4900,5964,5722
500000000007428230,5451,5722,5651,5441,5812
500000000004183156,5499,5462,4111,5732,5912
500000000007643424,5977,5451,5993,5462,5661
500000000485779983,5533,5499,5200,5993,5441
500000000050332164,5499,5533,5651,5722,5311
500000000320849961,5533,5722,5641,5311,5815
500000000006215753,5499,5722,5533,5651,5451
500000000001863292,5311,5441,5499,5533,5732
500000000236882260,5661,5533,5451,5462,5441
500000000001350593,5533,5732,5451,5331,5912
500000000050627043,5451,5651,5812,5541,5641
500000000603400939,5641,5499,5722,5661,5533
500000000006093949,5451,5399,5499,5732,4900
500000000566814730,5451,5399,5661,5331,4112
500000000403782232,5451,5533,5200,5399,5211
500000000006103269,5732,5499,5651,5661,5399
500000002158075797,7230,5451,5814,5651,5399
500000003123075583,5451,5661,7230,5992,5399
500000000116844933,5651,5732,5451,5533,7230
500000000001846827,5451,5311,5813,5499,5814
500000003249690532,5499,5533,5661,5813,5912
500000000050117244,5533,5451,5641,5441,5722
500000000467355745,5813,5451,5995,5816,5311
500000003958578859,5451,5812,7994,5691,5977
500000001806829250,5451,5813,5462,5661,5499
500000000150112998,5499,5533,5813,5812,5992
500000001355392544,5533,5451,5441,5211,4900
500000000620063711,5451,7311,5399,5732,5533
500000000001015091,5200,4131,5451,5533,7230
500000000001566782,5499,5533,5722,5691,5451
500000002285681134,5661,5451,7230,5462,5912
500000000002237003,5499,5200,5533,5813,5993
500000001025295761,5499,5533,5441,5399,7230
500000000007578949,5451,5999,5813,5541,9402
500000004202832069,5451,5441,5311,5399,5977
500000003503506020,5451,5200,5993,4816,5816
500000000053370183,5451,5732,5499,5993,5815
